English,Portuguese,courtyard,pátio
English,Portuguese,callow,inexperiente
English,Portuguese,denizen,habitante
German,Portuguese,stubborn,teimoso
English,Portuguese,thrifty,parcimonioso
English,Portuguese,nuisance,incômodo
English,Portuguese,tithe,dízimo
English,Portuguese,cottage,cabana
English,Portuguese,linger,permanecer
English,Portuguese,hoodie,capuz
English,Portuguese,underdog,azarão
English,Portuguese,navel,umbigo
English,Portuguese,mangy,sarnento
English,Portuguese,stew,ensopado
German,English,waschtrockner,washer dryer
German,English,buntwäsche,Multi Colored-wash
English,Portuguese,stiffer,mais rígido
English,Portuguese,river tour,passeio no rio
English,Portuguese,thumbtack,tachinha
English,Portuguese,swap,troca
